Coletor;NS Coletor;Modelo;SO;Status;Data e Hora
COL2650_098;21136D823D;CK65;Android 9;Disponivel
COL2650_099;;CK65;Android 9;Disponivel
COL2650_100;21147524201364;MC93;Android 9;Disponivel
COL2650_101;21147524201337;MC93;Android 9;Disponivel
COL2650_102;23121052420137;MC93;Android 9;Disponivel
COL2650_103;21217524200072;MC93;Android 9;Disponivel
COL2650_104;21147524201420;Android 9;Disponivel
COL2650_105;21147524201310;Android 9;Disponivel
COL2650_106;21147524201371;MC93;Android 9;Disponivel
COL2650_107;21147524201373;MC93;Android 9;Disponivel
COL2650_108;21147524201383;MC93;Android 9;Disponivel
COL2650_109;21147524201392;MC93;Android 9;Disponivel
COL2650_110;21147524201410;Android 9;Disponivel
COL2650_111;21147524201381;MC93;Android 9;Disponivel
COL2650_112;21147524201370;MC93;Android 9;Disponivel
COL2650_113;21147524201345;MC93;Android 9;Disponivel
COL2650_114;21147524201354;MC93;Android 9;Disponivel
